subject,model,accuracy,precision,recall,f1,cohen_kappa,date
sub-09,RandomForest,0.6444444444444445,0.8181818181818181,0.5294117647058824,0.4444444444444444,0.07216494845360844,2023-10-06 17:55:01
sub-10,LogisticRegression,0.4888888888888889,0.5185185185185185,0.5193965517241379,0.4878772884710539,0.03361344537815114,2023-10-06 18:22:03
sub-10,RandomForest,0.6444444444444445,0.5833333333333333,0.5420258620689655,0.5187165775401069,0.09774436090225569,2023-10-06 18:27:31
sub-11,LogisticRegression,0.4888888888888889,0.465,0.4579326923076923,0.44976076555023925,-0.07253886010362698,2023-10-06 18:54:34
sub-11,RandomForest,0.6888888888888889,0.5238095238095238,0.5072115384615384,0.46790540540540543,0.01869158878504662,2023-10-06 18:58:05
sub-12,LogisticRegression,0.5333333333333333,0.5326086956521738,0.5327380952380952,0.5324096981692232,0.06528189910979221,2023-10-06 19:25:06
sub-12,RandomForest,0.5333333333333333,0.26666666666666666,0.5,0.3478260869565218,0.0,2023-10-06 19:28:05
sub-13,LogisticRegression,0.5555555555555556,0.45989304812834225,0.4666666666666667,0.45913461538461536,-0.0714285714285714,2023-10-06 19:55:10
sub-13,RandomForest,0.6444444444444445,0.5375000000000001,0.5166666666666667,0.48571428571428565,0.040000000000000036,2023-10-06 19:58:48
sub-14,LogisticRegression,0.6444444444444445,0.32222222222222224,0.5,0.39189189189189194,0.0,2023-10-06 20:25:51
sub-14,RandomForest,0.6444444444444445,0.32222222222222224,0.5,0.39189189189189194,0.0,2023-10-06 20:32:07
sub-15,LogisticRegression,0.6888888888888889,0.34444444444444444,0.5,0.40789473684210525,0.0,2023-10-06 20:59:10
sub-15,RandomForest,0.6888888888888889,0.34444444444444444,0.5,0.40789473684210525,0.0,2023-10-06 21:03:45
sub-16,LogisticRegression,0.6222222222222222,0.5253378378378378,0.5166666666666667,0.5035691109669047,0.037735849056603876,2023-10-06 21:30:43
sub-16,RandomForest,0.6666666666666666,0.3333333333333333,0.5,0.4,0.0,2023-10-06 21:36:00
sub-17,LogisticRegression,0.5777777777777777,0.5166666666666666,0.5172811059907834,0.5166760881854154,0.03389830508474578,2023-10-06 22:03:07
sub-17,RandomForest,0.7111111111111111,0.6541353383458646,0.5944700460829493,0.5962732919254659,0.21895861148197604,2023-10-06 22:06:49
sub-18,LogisticRegression,0.5777777777777777,0.5368663594470046,0.5336134453781513,0.5325314379442319,0.06964091403699668,2023-10-06 22:33:58
sub-18,RandomForest,0.6222222222222222,0.563953488372093,0.5115546218487395,0.4329132690882135,0.02795425667090201,2023-10-06 22:38:54
sub-19,LogisticRegression,0.7555555555555555,0.6805555555555556,0.6477272727272727,0.6583850931677019,0.32098765432098764,2023-10-06 23:05:57
sub-19,RandomForest,0.6666666666666666,0.35714285714285715,0.45454545454545453,0.4,-0.11940298507462699,2023-10-06 23:09:18
sub-20,LogisticRegression,0.4222222222222222,0.4857142857142857,0.4894957983193277,0.40789473684210525,-0.017391304347825987,2023-10-06 23:36:23
sub-20,RandomForest,0.5555555555555556,0.2976190476190476,0.44642857142857145,0.35714285714285715,-0.1278195488721805,2023-10-06 23:40:00
sub-21,LogisticRegression,0.7111111111111111,0.35555555555555557,0.5,0.41558441558441556,0.0,2023-10-07 00:06:56
sub-21,RandomForest,0.6888888888888889,0.3522727272727273,0.484375,0.4078947368421053,-0.04304635761589415,2023-10-07 00:13:20
sub-22,LogisticRegression,0.4444444444444444,0.5,0.5,0.4263131055583886,0.0,2023-10-07 00:40:22
sub-22,RandomForest,0.5777777777777777,0.4642857142857143,0.49074074074074076,0.4099378881987578,-0.021505376344086002,2023-10-07 00:43:53
sub-23,LogisticRegression,0.6222222222222222,0.42948717948717946,0.46033653846153844,0.43291326908821354,-0.09442060085836901,2023-10-07 01:10:52
sub-23,RandomForest,0.6444444444444445,0.4981203007518797,0.4987980769230769,0.48571428571428565,-0.0027855153203342198,2023-10-07 01:14:38
sub-24,LogisticRegression,0.7777777777777778,0.3977272727272727,0.4861111111111111,0.4375,-0.04166666666666652,2023-10-07 01:41:41
sub-24,RandomForest,0.8,0.4,0.5,0.4444444444444445,0.0,2023-10-07 01:48:09
sub-25,LogisticRegression,0.6,0.625,0.6502403846153846,0.5900809716599189,0.23584905660377364,2023-10-07 02:15:14
sub-25,RandomForest,0.6444444444444445,0.34523809523809523,0.453125,0.39189189189189183,-0.12149532710280386,2023-10-07 02:19:39
sub-26,LogisticRegression,0.6222222222222222,0.4375,0.47119815668202764,0.4329132690882135,-0.06993006993007,2023-10-07 02:46:43
sub-26,RandomForest,0.6666666666666666,0.55,0.5230414746543779,0.49962935507783546,0.05594405594405594,2023-10-07 02:51:19
